浙江保融<!sp>运营总监<!sp>15k-25k<!sp>杭州<!sp>经验5-10年<!sp>'总监,运营总监'<!sp>1天前<!sp>拉勾网<!sp>'对公领域,平台运营,专业领域,高端客户'<!sp>'逻辑思维能力,团队协作能力,文案能力,沟通表达能力,领悟能力'<!sp>杭州 - 西湖区 - 西溪 - 文一西路767号绿城西溪国际E座北楼8楼
中再融运营部<!sp>运营总监<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,运营'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年底14薪,带薪年假,轻松办公'<!sp>'领悟能力,逻辑思维能力,熟悉法律法规,执行能力,创新能力,抗压能力,领导能力,沟通表达能力,团队协作能力,责任心,应变能力,上进心'<!sp>北京 - 海淀区 - 中关村 - 丹棱街1号互联网金融中心1506
阳光康众阳光康众运营部门<!sp>运营总监<!sp>8k-15k<!sp>广州<!sp>经验3-5年<!sp>'移动互联网,媒体,线上,运营,活动运营,医疗健康'<!sp>09:12<!sp>拉勾网<!sp>'运营,产品运营'<!sp>'服务意识,专业素质良好,执行能力,逻辑思维能力,团队协作能力,领导能力,创新能力,抗压能力,沟通表达能力,思想品质,工作激情'<!sp>广州 - 海珠区 - 琶洲大道东1号保利国际广场南塔508
讯友传媒海外广告事业部<!sp>运营总监<!sp>15k-30k<!sp>广州<!sp>经验5-10年<!sp>'总监,渠道,海外,运营,推广,app'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,五险一金,节日福利'<!sp>'逻辑思维能力,团队协作能力,专业素质良好,执行能力,主动性,沟通表达能力,开拓精神,英语基础'<!sp>广州 - 天河区 - 珠江新城 - 珠江东路12号高德置地冬广场H座2801
江山如画网络科技运营部<!sp>运营总监<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'总监,运营,产品,用户,活动,app'<!sp>09:31<!sp>拉勾网<!sp>'五险一金,管吃管住,股权期权,诚意招纳'<!sp>'执行能力,领悟能力,沟通表达能力,领导能力'<!sp>北京 - 海淀区 - 永定路 - 复兴路甲38号
伴米网运营部<!sp>运营总监<!sp>25k-35k<!sp>北京<!sp>经验5-10年<!sp>'总监,数据,用户,用户增长,活动运营,app'<!sp>1天前<!sp>拉勾网<!sp>'期权激励,大牛团队,带薪病假,年度旅游'<!sp>'执行能力,逻辑思维能力,团队协作能力,沟通表达能力,领导能力,主动性,责任心,上进心,创新能力'<!sp>北京 - 朝阳区 - CBD - 东三环中路39号院建外SOHO西区14号楼1502
享贞科技运营部<!sp>运营总监<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'数据,运营,产品,用户,活动,app'<!sp>10:54<!sp>拉勾网<!sp>'0-1创业,弹性工作,五险一金,领导好'<!sp>'逻辑思维能力,团队协作能力,创新能力,沟通表达能力,责任心'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1326号利尔达科技园金融大厦2-401A
库柏特COBOT综合部<!sp>运营总监<!sp>10k-20k<!sp>武汉<!sp>经验3-5年<!sp>'运营,总监,数据分析,项目经理'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大,福利待遇好,国际视野,大牛团队'<!sp>'执行能力,逻辑思维能力,沟通表达能力,开拓精神,创新能力,良好的职业背景,团队协作能力,领悟能力,责任心,领导能力'<!sp>武汉 - 东湖新技术开发区 - 光谷 - 光谷创业街73号武汉留学生创业园C栋3116
e签宝运营部<!sp>运营总监<!sp>25k-35k<!sp>杭州<!sp>经验5-10年<!sp>'企业服务,总监,运营,产品,活动运营,渠道'<!sp>1天前<!sp>拉勾网<!sp>'平台广,行业前景,职场大牛,福利众多'<!sp>'团队协作能力,开拓精神,服务意识,执行能力,责任心,领导能力'<!sp>杭州 - 西湖区 - 翠苑 - 西斗门路3号天堂软件园E幢9楼
门客生活门客科技<!sp>运营总监<!sp>25k-35k<!sp>杭州<!sp>经验3-5年<!sp>'总监,运营,电商'<!sp>2天前<!sp>拉勾网<!sp>'运营总监'<!sp>'执行能力,逻辑思维能力,思想品质,创新能力,沟通表达能力,领悟能力,团队协作能力'<!sp>杭州 - 滨江区 - 京安创业园9楼联和安澜
黑光公司黑光网<!sp>运营总监<!sp>8k-15k<!sp>潍坊<!sp>经验3-5年<!sp>'活动运营,项目管理,seo'<!sp>3天前<!sp>拉勾网<!sp>'高薪,发展前景好,见多识广,思维清晰'<!sp>''<!sp>潍坊市市市 - 奎文区 - 和平路 - 世纪泰华商务中心A座706室
返利网<!sp>运营总监<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'运营'<!sp>09:32<!sp>拉勾网<!sp>'吃饭停车回家,旅游股票医疗,返利为你准备好'<!sp>'创新能力,团队协作能力,服务意识,开拓精神,执行能力,领悟能力,领导能力'<!sp>上海 - 徐汇区 - 龙华 - 龙漕路200弄19号
汇桔网互联网商业化事业部<!sp>运营总监<!sp>20k-40k<!sp>广州<!sp>经验5-10年<!sp>'总监,互联网经验,运营'<!sp>09:11<!sp>拉勾网<!sp>'C轮融资,发展前景好,领导nice,待遇优厚'<!sp>'领导能力,钻研能力,领悟能力,良好的职业背景,专业素质良好,逻辑思维能力,执行能力,团队协作能力,工作激情,责任心'<!sp>广州 - 天河区 - 沙河 - 珠江新城珠江西路15号珠江城大厦56楼
蘑菇租房<!sp>运营总监<!sp>25k-40k<!sp>上海<!sp>经验5-10年<!sp>'房产服务,总监,活动运营,产品'<!sp>3天前<!sp>拉勾网<!sp>'广阔的发展空间'<!sp>'逻辑思维能力,团队协作能力,沟通表达能力,钻研能力,责任心'<!sp>上海 - 静安区 - 新闸路 - 江宁路212弄凯迪克大厦16楼
厦门鹅卵石网络科技有限公司运营<!sp>运营总监<!sp>15k-20k<!sp>厦门<!sp>经验3-5年<!sp>'总监,网站,新媒体,内容,新闻,活动运营'<!sp>11:58<!sp>拉勾网<!sp>'公司期权,年底分红,职业晋升'<!sp>'团队协作能力,领悟能力,主动性,创新能力'<!sp>厦门 - 思明区 - 门软件园二期观日路30号605
巴九灵美好新零售事业部<!sp>商品运营总监<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'跨境电商,总监,供应链'<!sp>10:00<!sp>拉勾网<!sp>'优秀团队,弹性工作,五险一金,双休，包吃'<!sp>'沟通表达能力,逻辑思维能力,抗压能力,团队协作能力,人际交往能力'<!sp>杭州 - 下城区 - 东新路 - 西文街213号琥珀中心12F
医和你运营部<!sp>运营总监<!sp>20k-30k<!sp>广州<!sp>经验5-10年<!sp>'总监,活动运营,副总裁,合伙人,医疗健康,股票期权'<!sp>1天前<!sp>拉勾网<!sp>'股份期权,行业前景,业务稳定'<!sp>'执行能力,逻辑思维能力,性格好,团队协作能力,领导能力,抗压能力,沟通表达能力'<!sp>广州 - 天河区 - 津滨腾越大厦
时代牛人网运营中心<!sp>运营总监<!sp>15k-20k<!sp>深圳<!sp>经验5-10年<!sp>'移动互联网,媒体,广告营销,总监,运营,市场'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,五险一金,团队旅游,股票期权'<!sp>'执行能力,开拓精神,逻辑思维能力,团队协作能力,形象气质佳,学习能力,专业素质良好,领悟能力,沟通表达能力,人脉资源,创新能力,文案能力,思想品质,抗压能力,上进心'<!sp>深圳 - 南山区 - 南油 - 东滨路4078号永新汇2栋6楼6006室
有品 PICOOC产品部<!sp>运营总监<!sp>35k-60k<!sp>深圳<!sp>经验5-10年<!sp>'总监,活动运营,数据分析,产品'<!sp>1天前<!sp>拉勾网<!sp>'弹性上班,腾讯投资,准上市,地铁口'<!sp>'逻辑思维能力,主动性,团队协作能力,学习能力,领悟能力'<!sp>深圳 - 南山区 - 蛇口 - 蛇口工业五路5号万维大楼304
程序员客栈运营部<!sp>运营总监<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'运营'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,绩效奖金,全勤奖,加班补'<!sp>'执行能力,团队协作能力,逻辑思维能力,公关能力,创新能力,开拓精神,抗压能力,沟通表达能力,自我管理能力,领导能力,责任心,钻研能力'<!sp>杭州 - 余杭区 - 仓前 - 良睦路1288号仓前梦想小镇6号楼302
九爱科技<!sp>运营总监<!sp>20k-30k<!sp>杭州<!sp>经验不限<!sp>'硬件制造,运营,总监'<!sp>09:56<!sp>拉勾网<!sp>'良好的晋升空间,良好的团队氛围'<!sp>'团队协作能力,逻辑思维能力,创新能力,执行能力,领导能力,熟悉法律法规,专业素质良好,沟通表达能力,领悟能力,服务意识'<!sp>杭州 - 滨江区 - 开发区 - 建业路511号浙大科技园华创大厦20F
唯品会商务中心<!sp>运营总监-美妆<!sp>30k-50k<!sp>广州<!sp>经验10年以上<!sp>'总监,运营,内容,活动'<!sp>1天前<!sp>拉勾网<!sp>'公司福利,成长空间'<!sp>''<!sp>广州 - 荔湾区 - 白鹅潭 - 花海街20号
链钱集团运营部<!sp>运营总监<!sp>10k-18k<!sp>杭州<!sp>经验3-5年<!sp>'总监,运营,电商'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年底多薪'<!sp>'逻辑思维能力,团队协作能力,专业素质良好'<!sp>杭州 - 西湖区 - 文三路 - 学院路28号德力西大厦3号楼3楼
二维火<!sp>运营总监<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'本地生活,总监,线上,活跃度运营'<!sp>2天前<!sp>拉勾网<!sp>'行业前景,牛人团队,福利待遇'<!sp>'领导能力,团队协作能力,良好的职业背景,责任心'<!sp>杭州市 - 拱墅区 - 小河 - 教工路552号 二维火科技大厦
