千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
阿里巴巴—高德<!sp>数据挖掘/机器学习资深工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习,大数据,数据分析'<!sp>2018-01-03<!sp>拉勾网<!sp>'地图专家,阿里平台,年底双薪'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 望京方恒国际A座
环信研发部<!sp>NLP/机器学习算法工程师(J...<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'算法,软件开发,大数据,机器学习,数据挖掘,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年底双薪,国外旅游,股票期权'<!sp>'逻辑思维能力,专业素质良好,学习能力,沟通表达能力'<!sp>北京 - 海淀区 - 中关村 - 北京市海淀区中关村南大街2号数码大厦A座31层
美宅算法<!sp>资深机器学习算法专家<!sp>50k-70k<!sp>北京<!sp>经验5-10年<!sp>'图像处理,机器学习,深度学习,计算机视觉,模式识别,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'行业前景好,VR+AI,员工持股,团队优秀'<!sp>'抗压能力,沟通表达能力,学习能力,良好的职业背景,专业素质良好,逻辑思维能力,钻研能力,常用办公软件的使用,文案能力'<!sp>北京市 - 海淀区 - 苏州桥 - 长春桥路5号新起点嘉园10号楼
半个医生技术部<!sp>机器学习<!sp>9k-18k<!sp>杭州<!sp>经验1-3年<!sp>'算法,机器学习,数据挖掘,自然语言处理'<!sp>2017-12-28<!sp>拉勾网<!sp>'真格基金的选择,医疗大数据开创性事业'<!sp>''<!sp>杭州 - 西湖区 - 文三路 - 文三路
阿里巴巴支付宝<!sp>大数据／数据开发／机器学习<!sp>20k-40k<!sp>杭州<!sp>经验3-5年<!sp>'高级,大数据,数据分析,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'牛人,潜力大'<!sp>'领悟能力,领导能力,钻研能力,学习能力,逻辑思维能力'<!sp>杭州 - 西湖区 - 西溪 - 黄龙时代广场B座
平安银行<!sp>信用卡核心系统研发 数据...<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'数据分析,算法,大数据,机器学习,数据挖掘,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,节假日休息'<!sp>'逻辑思维能力,学习能力,创新能力,文案能力,沟通表达能力,团队协作能力,常用办公软件的使用'<!sp>上海 - 浦东新区 - 唐镇 - 上丰路1288号中国平安
宽邦（BigQuant）技术研发中心<!sp>机器学习工程师<!sp>12k-22k<!sp>成都<!sp>经验3-5年<!sp>'金融,算法,机器学习,人工智能'<!sp>2018-01-18<!sp>拉勾网<!sp>'发展空间,前沿技术,团队优秀'<!sp>'学习能力,逻辑思维能力,设计能力,专业素质良好,自我管理能力'<!sp>成都 - 高新区 - 华阳 - 天府五街200号4号楼A区12楼
百度云计算事业部<!sp>机器学习/深度学习平台高...<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,深度学习,人工智能'<!sp>2018-01-17<!sp>拉勾网<!sp>'高薪'<!sp>''<!sp>上海 - 浦东新区 - 张江 - 上研大厦
腾讯互动娱乐研发部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>深圳<!sp>经验1-3年<!sp>'中级,算法,数据挖掘,机器学习,深度学习,NLP'<!sp>2018-01-15<!sp>拉勾网<!sp>'NLP'<!sp>'学习能力,逻辑思维能力,沟通表达能力'<!sp>深圳 - 南山区 - 科技园 - 科兴科学园
京东商城京东商城广告部<!sp>机器学习算法工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,机器学习,深度学习,计算广告'<!sp>2017-12-27<!sp>拉勾网<!sp>'平台大,发展空间大,福利好'<!sp>'学习能力,逻辑思维能力,领悟能力,良好的职业背景'<!sp>北京 - 朝阳区 - 大屯 - 北辰世纪中心A座
文创清科技术中心<!sp>机器学习工程师<!sp>15k-30k<!sp>成都<!sp>经验3-5年<!sp>'算法,机器学习,深度学习,人工智能'<!sp>2018-01-19<!sp>拉勾网<!sp>'六险一金,BAT团队,最低14薪,弹性时间'<!sp>'学习能力,美术功底,领悟能力,逻辑思维能力,专业素质良好'<!sp>成都 - 高新区 - 中和 - 天府二街东方希望天祥广场A座2202
EmoKit 海妖情绪识别引擎研发<!sp>机器学习/深度学习工程师<!sp>20k-30k<!sp>北京<!sp>经验1年以下<!sp>'算法,机器学习,深度学习'<!sp>2018-01-10<!sp>拉勾网<!sp>'收入高,个人成长大'<!sp>'学习能力,逻辑思维能力,美术功底,文案能力,专业素质良好'<!sp>北京 - 海淀区 - 苏州街 - 中关村创业大街binggo cafe二层
TubeMogulEngineering<!sp>Machine Learning-机器学习<!sp>10k-20k<!sp>成都<!sp>经验3-5年<!sp>'机器学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'国际化团队,扁平管理'<!sp>''<!sp>成都市 - 武侯区 - 华阳 - 天府五街200号
创新工场AI工程院创新工场AI工程院<!sp>机器学习算法高级工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'顶尖大牛,成长机会,商业资源多,工作环境棒'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京市 - 海淀区 - 中关村 - 鼎好大厦A座10层
虹软研发<!sp>机器学习平台工程师<!sp>10k-20k<!sp>杭州<!sp>经验不限<!sp>'python,算法,云计算,OpenStack'<!sp>2018-01-16<!sp>拉勾网<!sp>'优秀团队,完善福利'<!sp>'专业素质良好,文案能力,学习能力,钻研能力,思想品质,领悟能力'<!sp>杭州 - 西湖区 - 西溪 - 西斗门路3号，天堂软件园A栋23F
香侬科技算法部<!sp>机器学习/自然语言处理工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'总监,资深,高级,后端开发,金融,机器学习'<!sp>2017-12-26<!sp>拉勾网<!sp>'人工智能,初创公司,丰厚期权,大牛团队'<!sp>'领悟能力,学习能力,逻辑思维能力'<!sp>北京 - 海淀区 - 苏州街 - 海淀大街34号海置创投大厦8楼
融畅软件技术部<!sp>机器学习工程师<!sp>20k-30k<!sp>上海<!sp>经验3-5年<!sp>'数据分析,金融,大数据,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'公司环境好,福利待遇好'<!sp>'逻辑思维能力,良好的职业背景,学习能力'<!sp>上海 - 黄浦区 - 南京东路 - 上海市黄浦区
vivo软件研发<!sp>机器学习高级经理/技术专家<!sp>80k-100k<!sp>深圳<!sp>经验3-5年<!sp>'专家,模式识别,视觉,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'专家级别,平台大,待遇好,气氛赞'<!sp>'逻辑思维能力,学习能力,创新能力,沟通表达能力,钻研能力,团队协作能力'<!sp>深圳 - 福田区 - 上梅林 - 上梅林步步高大楼
顺丰科技有限公司顺丰科技<!sp>机器学习高级算法工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,自然语言处理,物流'<!sp>1天前<!sp>拉勾网<!sp>'集团背景,团队优秀,成长速度快,五险一金'<!sp>'逻辑思维能力,学习能力,良好的职业背景'<!sp>北京 - 海淀区 - 五道口 - 学清嘉创大厦
周同科技技术部门<!sp>机器学习数据专员<!sp>10k-20k<!sp>北京<!sp>经验不限<!sp>'大数据,数据分析,数据挖掘,信息安全,专员,视频'<!sp>2天前<!sp>拉勾网<!sp>'行业前沿,福利满满'<!sp>''<!sp>北京 - 朝阳区 - 泉发花园田苑25号
马上金融数据平台部<!sp>NLP/机器学习/数据挖掘 资...<!sp>15k-30k<!sp>成都<!sp>经验3-5年<!sp>'专家,搜索,算法,数据挖掘,机器学习,深度学习'<!sp>2018-01-15<!sp>拉勾网<!sp>'技术大牛,薪酬福利,行业前景'<!sp>'逻辑思维能力,设计能力,学习能力'<!sp>成都市市市 - 武侯区 - 中和 - 天府大道中段东方希望天祥广场2栋2009号
美团点评信息安全<!sp>大数据与机器学习研发专家<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,深度学习,大数据,数据分析,数据挖掘,信息安全'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作,加班补助,大牛团队,带薪休假'<!sp>'学习能力,逻辑思维能力'<!sp>上海 - 长宁区 - 安化路492号易园
百度金融数据智能部<!sp>机器学习（高级）研发工程师<!sp>18k-26k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,高级,金融,算法,机器学习,大数据'<!sp>2018-01-12<!sp>拉勾网<!sp>'发展,平台'<!sp>''<!sp>北京 - 海淀区 - 百度大厦
腾讯AI Lab<!sp>机器学习研究员<!sp>25k-50k<!sp>深圳<!sp>经验1-3年<!sp>'资深,算法,机器学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'发展平台,福利待遇'<!sp>''<!sp>深圳 - 南山区 - 科技园 - 高新园朗科大厦
网易网易新闻<!sp>人工智能/数据挖掘/机器学...<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,数据挖掘,深度学习,推荐,NLP'<!sp>2018-01-10<!sp>拉勾网<!sp>'技术氛围浓'<!sp>'设计能力,逻辑思维能力,领悟能力,学习能力'<!sp>北京 - 海淀区 - 西北旺 - 网易北京研发中心
传智播客总部C++学院面授组<!sp>机器学习讲师组长J10066<!sp>30k-40k<!sp>北京<!sp>经验3-5年<!sp>'软件开发,深度学习,人工智能'<!sp>2018-01-02<!sp>拉勾网<!sp>'发展好'<!sp>'学习能力,文案能力,逻辑思维能力,专业素质良好,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 昌平区 - 北七家 - 北七家宏福创业园修正大厦3层
滴滴出行<!sp>机器学习平台研发工程师/...<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'滴滴'<!sp>1天前<!sp>拉勾网<!sp>'独角兽'<!sp>''<!sp>北京 - 海淀区 - 北京市海淀区东北旺西路8号数字山谷
美团点评智能技术中心<!sp>机器学习算法高级专家<!sp>45k-60k<!sp>北京<!sp>经验5-10年<!sp>'资深,架构师,机器学习,深度学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'大牛云集,前沿技术,核心部门,弹性工作'<!sp>'学习能力,专业素质良好,逻辑思维能力'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园
链家产品技术2<!sp>策略&算法团队-机器学...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'算法'<!sp>2天前<!sp>拉勾网<!sp>'福利待遇好,前景发展好'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,专业素质良好,良好的职业背景,设计能力,沟通表达能力,团队协作能力'<!sp>北京市 - 海淀区 - 上地 - 北京市海淀区上地五街福道大厦链家网
Swie开发部<!sp>机器视觉/模式识别/机器学习<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,模式识别,嵌入式,神经网络,人工智能,机器视觉'<!sp>2018-01-20<!sp>拉勾网<!sp>'不打卡,老板niece,团队好'<!sp>''<!sp>北京 - 海淀区 - 苏州街 - 中关村创业大街6号楼
一满乐研发部<!sp>机器学习工程师<!sp>30k-50k<!sp>深圳<!sp>经验3-5年<!sp>'金融,算法,数据挖掘,机器学习,深度学习,推荐'<!sp>2018-01-16<!sp>拉勾网<!sp>'硅谷团队,一线创投,前沿科技'<!sp>'学习能力,逻辑思维能力,专业素质良好,良好的职业背景'<!sp>深圳 - 南山区 - 桂庙路口 - 海天一路19号软件产业基地4栋A座1101，一满乐
群友科技技术部<!sp>机器学习工程师<!sp>10k-20k<!sp>广州<!sp>经验1-3年<!sp>'数据分析,数据挖掘,机器学习,深度学习,大数据,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'年终双薪,弹性工作,高速成长,五险一金'<!sp>'逻辑思维能力'<!sp>广州 - 番禺区 - 大石 - 大石地铁站B出口120号
七牛云研发部<!sp>机器学习平台开发工程师<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'python,算法,图像处理,机器学习,深度学习,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,免费健身,弹性工作,绩效奖金'<!sp>''<!sp>上海 - 浦东新区 - 张江 - 亮秀路112号Y1座310室
菜瓜软件AI部<!sp>AI-人工智能-机器学习<!sp>10k-20k<!sp>西安<!sp>经验5-10年<!sp>'人工智能,大数据,机器学习,深度学习'<!sp>2018-01-02<!sp>拉勾网<!sp>'技术创新,弹性工作'<!sp>'学习能力,钻研能力,逻辑思维能力,创新能力,美术功底,领导能力,专业素质良好,设计能力,责任心,沟通表达能力,人脉资源,执行能力'<!sp>西安 - 碑林区 - 小雁塔 - 环城南路331号
牛法网技术部<!sp>python/机器学习开发<!sp>12k-20k<!sp>深圳<!sp>经验1-3年<!sp>'Python,php,Java'<!sp>2天前<!sp>拉勾网<!sp>'互联网化,技术前沿'<!sp>''<!sp>深圳 - 南山区 - 大冲 - 沙河西路2009号尚美科技大厦24楼2402室
猎鹰网络算法部门<!sp>风控/策略算法，机器学习，...<!sp>30k-58k<!sp>杭州<!sp>经验3-5年<!sp>'广告营销,金融,算法,大数据,机器学习,电商'<!sp>1天前<!sp>拉勾网<!sp>'快上市'<!sp>'设计能力,学习能力,逻辑思维能力,良好的职业背景,领悟能力,钻研能力,上进心'<!sp>杭州 - 西湖区 - 余杭区
天猫云零售事业部<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'搜索,算法,数据挖掘,机器学习,深度学习,推荐'<!sp>1天前<!sp>拉勾网<!sp>'有牛人,核心业务,年终奖丰厚,团队氛围好'<!sp>'钻研能力,逻辑思维能力,创新能力,学习能力,专业素质良好,领导能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 绿地中心
百度自然语言处理部<!sp>自然语言处理部_NLP/机器...<!sp>20k-25k<!sp>北京<!sp>经验3-5年<!sp>'机器学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'平台大'<!sp>''<!sp>北京市 - 海淀区 - 西北旺 - 百度科技园
美团点评酒旅事业群<!sp>深度学习/机器学习算法<!sp>30k-55k<!sp>北京<!sp>经验3-5年<!sp>'专家,算法,图像处理,数据挖掘,机器学习,NLP'<!sp>2018-01-15<!sp>拉勾网<!sp>'体量大,靠谱场景,优势业务'<!sp>'学习能力,逻辑思维能力,专业素质良好,钻研能力,领悟能力'<!sp>北京市 - 朝阳区 - 望京 - 望京国际研发园
腾讯腾讯互动娱乐运营部<!sp>机器学习平台研发工程师<!sp>20k-40k<!sp>深圳<!sp>经验3-5年<!sp>'高级,python,数据分析,算法,数据挖掘,机器学习'<!sp>2018-01-15<!sp>拉勾网<!sp>'机器学习,腾讯游戏,海量数据,平台'<!sp>'逻辑思维能力,专业素质良好'<!sp>深圳 - 南山区 - 科技园 - 科兴科学园
天猫阿里云<!sp>机器学习算法专家<!sp>25k-50k<!sp>杭州<!sp>经验3-5年<!sp>'算法,大数据,机器学习,数据挖掘'<!sp>2018-01-10<!sp>拉勾网<!sp>'城市大脑,交通优化'<!sp>'逻辑思维能力,学习能力,专业素质良好,领悟能力,上进心,沟通表达能力,团队协作能力'<!sp>杭州 - 余杭区 - 仓前 - 乐佳国际
真格基金真格基金HR项目组真<!sp>机器学习算法工程师-真格...<!sp>45k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,NLP,大数据,机器学习,深度学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'人工智能,大数据,各类补助,技术大牛'<!sp>'逻辑思维能力,学习能力,专业素质良好'<!sp>北京 - 海淀区 - 北京大学 - 中关村soho
玖富集团理财事业部<!sp>机器学习算法工程师（AI方向）<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'金融,算法,机器学习,数据挖掘'<!sp>2018-01-05<!sp>拉勾网<!sp>'平台好'<!sp>''<!sp>北京 - 朝阳区 - 望京soho塔3B座40层
宜信数据组<!sp>机器学习算法资深工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,大数据'<!sp>2018-01-17<!sp>拉勾网<!sp>'六险一金,紧邻地铁,弹性工作'<!sp>'逻辑思维能力,学习能力,领悟能力,团队协作能力,沟通表达能力'<!sp>北京 - 朝阳区 - 大望路 - 西大望路1号温特莱中心A座
海云数据<!sp>机器学习平台研发工程师<!sp>10k-15k<!sp>北京<!sp>经验1-3年<!sp>'后端开发'<!sp>2018-01-16<!sp>拉勾网<!sp>'发展潜力大'<!sp>'逻辑思维能力,设计能力,沟通表达能力,团队协作能力,领悟能力,学习能力'<!sp>北京 - 海淀区 - 知春路 - 清华科技园科技大厦c座22层
FORMAX金融圈Formax集团<!sp>机器学习高级工程师<!sp>18k-30k<!sp>深圳<!sp>经验3-5年<!sp>'算法,机器学习,模式识别,深度学习'<!sp>2018-01-11<!sp>拉勾网<!sp>'平台好,福利多,发展快,氛围好'<!sp>'学习能力,逻辑思维能力,美术功底,钻研能力,专业素质良好,沟通表达能力,团队协作能力,领悟能力'<!sp>深圳市市市 - 南山区 - 科技园 - 高新南六道航盛科技大厦17楼、19楼金融圈
CreditX研发部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'金融,算法,机器学习,深度学习,建模'<!sp>2018-01-08<!sp>拉勾网<!sp>'AI技术,精英团队,扁平管理,弹性工作制'<!sp>'学习能力,逻辑思维能力,专业素质良好,沟通表达能力'<!sp>上海市 - 长宁区 - 虹桥 - 中山东二路88号外滩soho G座2楼
蚂蚁金服集团蚂蚁金服人工智能部<!sp>机器学习平台技术专家-P7-...<!sp>25k-50k<!sp>杭州<!sp>经验3-5年<!sp>'hadoop,搜索,AI平台,机器学习,推荐,大数据'<!sp>1天前<!sp>拉勾网<!sp>'核心业务,顶尖团队,学习成长快,大牛云集'<!sp>'学习能力,逻辑思维能力,专业素质良好,沟通表达能力,团队协作能力,设计能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
GFT量化<!sp>机器学习科学家（可兼职）（...<!sp>15k-30k<!sp>西安<!sp>经验不限<!sp>'分析员,金融AI'<!sp>1天前<!sp>拉勾网<!sp>'金融AI,替代分析师,大数据处理'<!sp>''<!sp>西安 - 高新技术产业开发区 - 高新路 - You can work from home
艾玛医疗科技技术部<!sp>机器学习、深度学习<!sp>8k-11k<!sp>郑州<!sp>经验1-3年<!sp>'高级,算法,机器学习,深度学习,大数据'<!sp>2017-12-28<!sp>拉勾网<!sp>'扁平管理,免费零食,领导nic,五险一金'<!sp>'学习能力,逻辑思维能力,设计能力,抗压能力,思想品质,团队协作能力'<!sp>郑州 - 金水区 - 经三路 - 经三路广电南路交叉口格林融熙国际8楼817室
美味不用等数据智能产品事业部<!sp>机器学习与算法工程师 (语...<!sp>20k-35k<!sp>上海<!sp>经验3-5年<!sp>'算法,软件开发,机器学习,模式识别'<!sp>1天前<!sp>拉勾网<!sp>'高薪'<!sp>'逻辑思维能力,美术功底,学习能力,钻研能力,领悟能力'<!sp>上海 - 浦东新区 - 张江 - 祖冲之路887弄88号楼3楼
快手研发部<!sp>机器学习算法专家/工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,资深,高级,算法,机器学习,人工智能'<!sp>2018-01-19<!sp>拉勾网<!sp>'技术氛围浓,发展空间大,技术大牛多'<!sp>'学习能力,钻研能力,逻辑思维能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路一号院，清华科技园（TusPark），启迪科技大厦B座22层
百度HAO123基础业务部<!sp>HAO123基础业务部_机器学...<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,大数据,数据挖掘'<!sp>2018-01-03<!sp>拉勾网<!sp>'公司大,平台广'<!sp>''<!sp>北京 - 海淀区 - 百度科技园
GFT量化<!sp>机器学习科学家（可兼职）（...<!sp>20k-40k<!sp>上海<!sp>经验不限<!sp>'python,分析员,js,金融AI'<!sp>1天前<!sp>拉勾网<!sp>'金融AI,替代分析师,大数据处理'<!sp>''<!sp>上海 - 虹口区 - 广中路 - 花园路128号7街区A座1012室
初星科技研发部<!sp>高级机器学习工程师<!sp>15k-30k<!sp>广州<!sp>经验1-3年<!sp>'社交,高级,数据挖掘,机器学习,NLP,人工智能'<!sp>2018-01-16<!sp>拉勾网<!sp>'AI方向,前沿挑战,广阔空间,靠谱队友'<!sp>'逻辑思维能力'<!sp>广州市市市 - 番禺区 - 大学城 - 广州大学城国家数字家庭应用产业基地东区13栋
京东商城广告部<!sp>机器学习平台研发工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,软件开发,深度学习'<!sp>2017-12-27<!sp>拉勾网<!sp>'平台大,发展好'<!sp>'专业素质良好,逻辑思维能力,学习能力,设计能力'<!sp>北京 - 朝阳区 - 大屯 - 北辰世纪中心A座
餐谋科技技术部<!sp>机器学习工程师<!sp>8k-15k<!sp>武汉<!sp>经验3-5年<!sp>'算法,机器学习,深度学习,模式识别,图像处理'<!sp>2017-12-26<!sp>拉勾网<!sp>'五险一金,员工旅游,节日福利,年终奖'<!sp>'逻辑思维能力,文案能力,设计能力,学习能力,美术功底,专业素质良好'<!sp>武汉 - 洪山区 - 光谷 - 光谷
橡乐网络研发部<!sp>机器学习(偏应用)开发工程师<!sp>8K-15K<!sp>上海<!sp>经验3-5年<!sp>'资深,高级,中级'<!sp>2天前<!sp>拉勾网<!sp>'薪资待遇:30～60w'<!sp>'逻辑思维能力,学习能力'<!sp>上海 - 闵行区 - 浦江 - 浦江镇陈行路2388号5号楼
风数技术部<!sp>机器学习算法工程师<!sp>12k-24k<!sp>杭州<!sp>经验3-5年<!sp>'数据分析,数据挖掘,机器学习,深度学习,自然语言处理'<!sp>2018-01-19<!sp>拉勾网<!sp>'大牛共事,美女如云,五险一金,公司旅游'<!sp>'学习能力,逻辑思维能力,团队协作能力,钻研能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1218号恒生科技园11幢4楼
禾大科技研发部<!sp>深度学习/机器学习工程师<!sp>10k-20k<!sp>武汉<!sp>经验1-3年<!sp>'深度学习,大数据,机器学习,数据挖掘,解决方案'<!sp>2018-01-19<!sp>拉勾网<!sp>'五险一金,双休,团队好,年假'<!sp>'逻辑思维能力,钻研能力,学习能力,领悟能力,沟通表达能力,团队协作能力'<!sp>武汉 - 洪山区 - 关山 - 光谷SBI创业街10栋2楼206室
同盾科技<!sp>反欺诈机器学习专家<!sp>35k-60k<!sp>杭州<!sp>经验5-10年<!sp>'专家,数据分析,算法,数据挖掘,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'全额公积金,双休,不打卡,商业医疗保险'<!sp>'逻辑思维能力,学习能力,创新能力,主动性,钻研能力,团队协作能力,良好的职业背景,常用办公软件的使用,领悟能力,专业素质良好,沟通表达能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路998号海创园
快手研发部<!sp>机器学习算法专家/工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'游戏,广告营销,Python,算法,机器学习,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'公司发展好,技术氛围浓,免费健身房,包午晚餐'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 中关村东路一号院，清华科技园（TusPark），启迪科技大厦B座22层
Udacity<!sp>课程经理 - 机器学习<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'机器学习,数据分析,教育'<!sp>2018-01-03<!sp>拉勾网<!sp>'硅谷独角兽,快速增长期'<!sp>'学习能力'<!sp>上海 - 徐汇区 - 徐家汇 - 漕溪北路45号
日志易<!sp>机器学习算法工程师-北京-...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,大数据,数据挖掘'<!sp>2018-01-03<!sp>拉勾网<!sp>'高额期权,优厚福利,自由氛围,世界级产品'<!sp>'学习能力,逻辑思维能力,钻研能力,专业素质良好,责任心,沟通表达能力,思想品质,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京SOHO T2 B座1707
游族网络市场中心<!sp>机器学习算法工程师——计算...<!sp>20k-30k<!sp>上海<!sp>经验3-5年<!sp>'算法'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇好'<!sp>'逻辑思维能力,学习能力,专业素质良好,创新能力'<!sp>上海 - 徐汇区 - 上海市徐汇区徐汇区宜山路711号2号楼游族大厦
Airdoc研发<!sp>机器学习算法工程师<!sp>30k-50k<!sp>上海<!sp>经验1-3年<!sp>'python,算法,机器学习,医疗健康,人工智能'<!sp>2018-01-12<!sp>拉勾网<!sp>'扁平化,发展空间大'<!sp>''<!sp>上海 - 徐汇区 - 虹梅路 - 上海市徐汇区田林路192号2层
360<!sp>机器学习平台开发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'中级,初级,算法,云计算,机器学习,深度学习'<!sp>2018-01-08<!sp>拉勾网<!sp>'团队专业,大公司福利好,有班车,管三餐'<!sp>'文案能力,学习能力,领导能力,专业素质良好,设计能力,领悟能力,抗压能力,自我管理能力,服务意识,良好的职业背景'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
百度百度智能云事业部<!sp>深度学习/机器学习研发工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'硬件制造,算法,数据挖掘,机器学习,深度学习'<!sp>2018-01-16<!sp>拉勾网<!sp>'平台大,技术氛围好'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 西北旺东路10号院百度科技园2号楼
GFT量化<!sp>机器学习科学家（可兼职）（...<!sp>15k-30k<!sp>南京<!sp>经验不限<!sp>'分析员,js,金融AI'<!sp>1天前<!sp>拉勾网<!sp>'金融AI,替代分析师,大数据处理'<!sp>''<!sp>南京 - 建邺区 - 江东 - You can work from home
拼多多研发部<!sp>大规模机器学习平台研发专家<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'广告营销,算法,机器学习,大数据,Java'<!sp>1天前<!sp>拉勾网<!sp>'大牛团队,氛围好'<!sp>'逻辑思维能力,设计能力,领悟能力,学习能力,专业素质良好,主动性,沟通表达能力,上进心,团队协作能力'<!sp>上海 - 长宁区 - 天山路 - 娄山关路533号金虹桥国际中心28楼北楼
Terminai机慧科技研发部<!sp>计算机视觉-机器学习/深度...<!sp>16k-32k<!sp>杭州<!sp>经验1-3年<!sp>'高级,中级,算法,深度学习,计算机视觉,模式识别'<!sp>2018-01-03<!sp>拉勾网<!sp>'期权激励,酷炫产品,人性化管理'<!sp>'逻辑思维能力,团队协作能力,美术功底,学习能力,英语基础'<!sp>杭州 - 余杭区 - 仓前 - 龙潭路20号安通电子信息科创园6-D
成都小多科技有限公司<!sp>机器学习算法研发工程师<!sp>15k-30k<!sp>成都<!sp>经验1-3年<!sp>'算法'<!sp>2天前<!sp>拉勾网<!sp>'技术氛围浓厚,技术大牛共事'<!sp>'团队协作能力'<!sp>成都市 - 高新区 - 中和 - 高新区天府软件园B区7栋705
探码科技技术部<!sp>机器学习/数据挖掘/大数据...<!sp>8k-15k<!sp>成都<!sp>经验不限<!sp>'大数据,数据分析,BI,可视化,机器学习,深度学习'<!sp>2018-01-16<!sp>拉勾网<!sp>'不打卡,环境好,老板人好,同事关系好'<!sp>''<!sp>成都 - 成华区 - 建设路 - 二环路东二段龙湖三千星座A座1601,2802
