今日头条<!sp>Python 研发工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'后端开发'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,高薪期权,弹性工作,免费三餐,租房补贴,带薪休假,扁平管理,职业大牛,晋升空间'<!sp>'设计能力,创新能力,专业素质良好,领悟能力,逻辑思维能力,服务意识,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 北京市海淀区知春路63号中国卫星通信大厦
果雪科技技术中心<!sp>Python 工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'中级,python,Ruby,云计算,软件开发,电商'<!sp>09:20<!sp>拉勾网<!sp>'技术牛,福利好,氛围好,老板牛'<!sp>'设计能力,逻辑思维能力,专业素质良好,服务意识,领悟能力,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 闵行区 - 莘庄 - 强劲大厦
数美研发工程师<!sp>python研发工程师<!sp>15k-30k<!sp>北京<!sp>经验1年以下<!sp>'Python,大数据,数据挖掘'<!sp>12:20<!sp>拉勾网<!sp>'飞速发展,技术氛围浓,待遇好,发展快'<!sp>'领悟能力,服务意识,逻辑思维能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
家园网<!sp>Python工程师<!sp>18k-30k<!sp>北京<!sp>经验3-5年<!sp>''<!sp>10:18<!sp>拉勾网<!sp>'福利好,14薪'<!sp>'逻辑思维能力,设计能力,抗压能力,钻研能力,责任心,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠家园8号楼【名敦道商圈8号楼】
武汉佰钧成技术有限公司BU8<!sp>Python<!sp>15k-30k<!sp>武汉<!sp>经验3-5年<!sp>'云计算,linux,软件开发,OpenStack'<!sp>08:56<!sp>拉勾网<!sp>'牛人团队,薪资高,福利好'<!sp>''<!sp>武汉 - 东湖新技术开发区 - - 光谷软件园\未来科技城
紫川软件<!sp>python工程师<!sp>8k-14k<!sp>深圳<!sp>经验1-3年<!sp>'Python'<!sp>08:24<!sp>拉勾网<!sp>'周末双休,免费体检,员工旅游,五险一金'<!sp>'服务意识,设计能力,逻辑思维能力,学习能力'<!sp>深圳 - 福田区 - 深南中路新闻大厦
灵雀云研发<!sp>Python<!sp>13k-25k<!sp>北京<!sp>经验不限<!sp>'云计算'<!sp>1天前<!sp>拉勾网<!sp>'前沿科技,靠谱团队,工程师文化,H1B计划'<!sp>''<!sp>北京 - 海淀区 - 北京大学 - 海淀大街3号鼎好大厦A座704
智慧芽化学<!sp>python开发工程师<!sp>15k-25k<!sp>苏州<!sp>经验5-10年<!sp>'资深,Python,web,后端,php,Java'<!sp>1天前<!sp>拉勾网<!sp>'不用打卡,老板人好'<!sp>'服务意识,逻辑思维能力,设计能力,专业素质良好,责任心,思想品质,沟通表达能力,团队协作能力'<!sp>苏州 - 工业园区 - 娄葑 - 新平街388号腾飞创新园塔楼C9楼
深瞐科技<!sp>Python 开发工程师<!sp>8k-12k<!sp>武汉<!sp>经验1-3年<!sp>'MySQL,Python,Java'<!sp>17:48<!sp>拉勾网<!sp>'五险一金,带薪年假,补贴'<!sp>'逻辑思维能力,文案能力,学习能力'<!sp>工作地址
省钱快报技术部<!sp>Python<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'Python,数据分析,Java'<!sp>14:15<!sp>拉勾网<!sp>'海量数据,氛围轻松,项目奖金'<!sp>'专业素质良好,领悟能力,设计能力,逻辑思维能力,钻研能力'<!sp>北京 - 东城区 - 安定门 - 箭厂胡同 22 号雍和别墅 301
学堂在线雨课堂事业部<!sp>系统开发工程师（Python）<!sp>20k-30k<!sp>北京<!sp>经验5-10年<!sp>'资深,高级,Python'<!sp>10:10<!sp>拉勾网<!sp>'五险一金,餐补,生日会,优秀团队'<!sp>'服务意识,专业素质良好,逻辑思维能力,学习能力,设计能力'<!sp>北京 - 海淀区 - 五道口 - 清华清华科技园科建大厦7层
